id,listtype,list,listnum,category,letter,itemnum,response,rt,semantic,phonological,overlap,hard_switch,soft_switch,any_switch,cue_combo,cue_valid,condition
R_114UrlF710l6g2I,phono_3,phono,3,,s,19,slit,2365,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,20,slur,2067,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,21,slurp,3434,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,22,scar,3602,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,23,star,2081,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,24,slay,1888,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,25,sharpshame,4349,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,26,sharpshooter,2548,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_3,phono,3,,s,27,shill,2900,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,1,boston,3130,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,2,bar,1652,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,3,barf,3518,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,4,barely,1616,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,5,but,1033,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,6,becuase,2151,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,7,boosboosted,4339,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,8,boosting,1952,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,9,bus,1551,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,10,busy,1483,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,11,both,4708,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,12,black,3565,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,13,box,2601,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,14,brat,3001,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,15,barf,3050,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,16,baby,1530,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,17,barbie,2051,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,18,been,4476,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,19,bomb,5673,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,20,booking,2287,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,phono_4,phono,4,,b,21,bombing,2752,no,yes,no,no,no,no,letter_only,yes,phonological
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,1,justicr,3686,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,2,guitar,4885,yes,no,no,yes,no,yes,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,3,jerk,1784,no,yes,no,yes,no,yes,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,4,just,4236,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,5,join,1434,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,6,xylophone,8953,yes,no,no,yes,no,yes,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,7,violin,8521,yes,no,no,no,no,no,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,8,cello,3035,yes,no,no,no,no,no,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,9,janitor,4721,no,yes,no,yes,no,yes,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,10,jack,1268,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,11,jam,6691,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,12,flute,4186,yes,no,no,yes,no,yes,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_3,disj,3,instruments,j,13,flamenco,4206,no,no,no,no,no,no,neither,no,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,1,house,4566,no,yes,no,no,no,no,letter_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,2,drill,1717,yes,no,no,yes,no,yes,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,3,ratchet,5222,no,no,no,no,no,no,neither,no,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,4,wrench,4039,yes,no,no,no,no,no,semantic_only,yes,disjunctive
R_114UrlF710l6g2I,disj_4,disj,4,tools,h,5,socket,5189,no,no,no,no,no,no,neither,no,disjunctive
